Cod_setor,responsavelHomem,responsavelMulher,proporcaoHomem,proporcaoMulher
240810205060101,204,156,0.5666666666666667,0.43333333333333335
240810205060102,209,122,0.6314199395770392,0.3685800604229607
240810205060103,206,146,0.5852272727272727,0.4147727272727273
240810205060104,41,20,0.6721311475409836,0.32786885245901637
240810205060105,268,125,0.6819338422391857,0.31806615776081426
240810205060106,193,96,0.6678200692041523,0.33217993079584773
240810205060107,140,68,0.6730769230769231,0.3269230769230769
240810205060108,145,66,0.6872037914691943,0.3127962085308057
240810205060109,162,114,0.5869565217391305,0.41304347826086957
240810205060110,228,125,0.6458923512747875,0.35410764872521244
240810205060111,164,123,0.5714285714285714,0.42857142857142855
240810205060112,164,128,0.5616438356164384,0.4383561643835616
240810205060113,167,186,0.4730878186968839,0.5269121813031161
240810205060114,170,88,0.6589147286821705,0.34108527131782945
240810205060115,139,90,0.6069868995633187,0.3930131004366812
240810205060116,233,149,0.6099476439790575,0.3900523560209424
240810205060117,127,103,0.5521739130434783,0.44782608695652176
240810205060118,202,99,0.6710963455149501,0.3289036544850498
240810205060119,219,157,0.5824468085106383,0.4175531914893617
240810205060120,186,80,0.6992481203007519,0.3007518796992481
240810205060121,202,130,0.608433734939759,0.39156626506024095
240810205060122,188,116,0.618421052631579,0.3815789473684211
240810205060123,150,135,0.5263157894736842,0.47368421052631576
240810205060124,180,96,0.6521739130434783,0.34782608695652173
240810205060125,223,129,0.6335227272727273,0.3664772727272727
240810205060126,188,135,0.5820433436532507,0.4179566563467492
240810205060127,179,116,0.6067796610169491,0.39322033898305087
240810205060128,176,103,0.6308243727598566,0.36917562724014336
240810205060129,146,148,0.4965986394557823,0.5034013605442177
240810205060130,172,175,0.4956772334293948,0.5043227665706052
240810205060131,228,117,0.6608695652173913,0.3391304347826087
240810205060132,207,155,0.5718232044198895,0.4281767955801105
240810205060133,87,57,0.6041666666666666,0.3958333333333333
240810205060134,209,116,0.6430769230769231,0.3569230769230769
240810205060135,148,82,0.6434782608695652,0.3565217391304348
240810205060136,210,120,0.6363636363636364,0.36363636363636365
240810205060137,195,139,0.5838323353293413,0.4161676646706587
240810205060138,57,121,0.3202247191011236,0.6797752808988764
240810205060139,242,79,0.7538940809968847,0.24610591900311526
240810205060140,257,122,0.6781002638522428,0.32189973614775724
240810205060141,290,130,0.6904761904761905,0.30952380952380953
240810205060142,136,75,0.6445497630331753,0.35545023696682465
240810205060143,174,114,0.6041666666666666,0.3958333333333333
240810205060144,162,74,0.6864406779661016,0.3135593220338983
240810205060145,150,99,0.6024096385542169,0.39759036144578314
240810205060146,122,126,0.49193548387096775,0.5080645161290323
240810205060147,202,93,0.6847457627118644,0.3152542372881356
240810205060148,235,118,0.6657223796033994,0.3342776203966006
240810205060149,162,133,0.5491525423728814,0.45084745762711864
240810205060150,120,80,0.6,0.4
240810205060151,232,123,0.6535211267605634,0.3464788732394366
240810205060152,240,143,0.6266318537859008,0.3733681462140992
240810205060153,93,84,0.5254237288135594,0.4745762711864407
240810205060154,102,70,0.5930232558139535,0.4069767441860465
240810205060155,186,129,0.5904761904761905,0.4095238095238095
240810205060156,130,83,0.6103286384976526,0.38967136150234744
240810205060157,153,138,0.5257731958762887,0.4742268041237113
